filename,abbr,add,addrLine,address,argument,author,back,bibl,body,byline,cell,choice,cit,closer,corr,date,dateline,del,div,emph,epigraph,figure,floatingText,foreign,gap,head,hi,item,l,label,lb,lg,list,mentioned,milestone,name,note,opener,p,pb,q,ref,row,salute,seg,sic,signed,sp,speaker,stage,table,term,title,trailer,unclear
VAC7509.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC7346.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC5566.xml,0,0,0,0,0,0,0,0,1,0,0,4,0,1,4,0,0,0,12,22,0,3,1,6,0,26,2,0,0,0,0,0,0,0,0,0,8,0,378,31,1,16,0,0,0,4,0,0,0,0,0,0,2,0,0
VAC7166.xml,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,2,0,29,16,1,0,3,10,0,53,0,0,533,0,0,112,0,0,0,0,1,2,1873,162,26,2,0,2,0,0,1,0,0,0,0,0,0,0,1
VAC7374.xml,1,0,0,0,0,0,0,23,8,0,8,5,23,7,5,0,3,0,72,241,22,3,8,29,0,122,81,0,217,0,0,51,0,0,2,0,47,5,3860,137,67,94,4,7,0,5,5,0,0,0,1,0,26,0,3
VAC6116.xml,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,24,110,0,1,1,1,0,47,5,0,0,0,0,0,0,0,0,0,0,1,1930,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12
VAC6352.xml,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,2,0,49,343,0,0,7,21,0,86,2,0,22,0,0,7,0,0,0,0,0,2,3266,246,16,0,0,1,0,0,6,0,0,0,0,0,0,0,2
VAC6309.xml,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,29,18,0,0,1,0,0,56,0,0,4,0,0,1,0,0,0,0,0,1,899,122,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0
VAC7117.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC7587.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC6423.xml,0,0,2,1,0,0,0,0,3,0,0,0,0,4,0,0,1,0,48,189,0,0,3,19,0,46,18,0,48,0,0,15,0,0,1,0,0,0,2532,239,24,0,0,3,0,0,3,0,0,0,0,0,6,0,0
VAC7035.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC8216.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC6171.xml,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,27,486,24,0,2,6,0,50,5,0,129,0,0,27,0,0,1,0,1,0,1432,180,30,2,0,1,0,0,2,0,0,0,0,0,1,0,1
VAC7264.xml,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,2,0,27,144,0,0,6,82,0,22,1,0,38,0,0,10,0,0,0,0,1,2,890,143,18,2,0,4,0,0,5,0,0,0,0,0,1,0,1
VAC5738.xml,0,0,0,0,0,0,0,14,0,0,0,1,14,1,1,0,0,0,15,3,14,0,0,2,0,17,0,4,24,0,4,6,1,0,6,0,0,0,1098,88,23,0,0,0,0,1,0,0,0,0,0,0,6,0,0
VAC6121.xml,1,0,1,1,14,0,0,0,13,0,0,0,0,9,0,0,4,0,75,18,0,0,13,21,0,91,0,0,549,0,1,95,0,0,0,0,0,6,1405,134,19,0,0,8,0,0,8,0,0,0,0,0,0,0,1
VAC5622.xml,0,0,0,0,0,0,0,0,0,0,0,6,0,1,6,0,0,0,16,13,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,1376,106,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0
VAC8192.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC5675.xml,0,0,0,0,0,0,0,0,2,0,0,2,0,3,2,0,0,0,41,35,0,4,2,60,0,41,1,0,3,0,0,1,0,0,0,0,2,0,2466,187,5,4,0,2,0,2,2,0,0,0,0,0,0,0,2
VAC6072.xml,1,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,20,67,15,0,4,51,0,17,7,0,136,0,0,26,0,0,2,0,1,1,1144,143,32,2,0,2,0,0,4,0,0,0,0,0,0,0,2
VAC7556.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC8049.xml,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,11,166,0,2,0,5,0,24,4,0,5,0,0,1,0,0,4,0,1,0,453,43,1,2,0,0,0,1,0,0,0,0,0,0,4,1,0
